Frequency,Tissue,Source,Permittivity,elec_cond
2.2,Adrenal Gland,Adrenal Gland,48.5055323936895,1.61698085970935
2.2,Air,Air,1.0,0.0
2.2,Bile,Bile,68.6352317467119,2.59249460399334
2.2,Blood,Blood,58.6816860966482,2.33923844547676
2.2,Blood Plasma,,0.0,0.0
2.2,Blood Serum,,0.0,0.0
2.2,Blood Vessel Wall,Blood Vessel Wall,42.8393415049091,1.28365598106012
2.2,Bone (Cancellous),Bone (Cancellous),18.8415321985145,0.71874183532276
2.2,Bone (Cortical),Bone (Cortical),11.5303919565393,0.346589449691386
2.2,Bone Marrow (Red),Bone Marrow (Red),10.4469322730004,0.41488444899326
2.2,Bone Marrow (Yellow),Bone Marrow (Yellow),5.32477617621166,0.0847797285885468
2.2,Brain,Cerebellum,45.2653001608556,1.94304289851916
2.2,Brain (Grey Matter),Brain (Grey Matter),49.3330673539312,1.63843294928493
2.2,Brain (White Matter),Brain (White Matter),36.4719073383682,1.09308044491396
2.2,Breast Fat,Breast Fat,5.1946634425975,0.119434670949351
2.2,Breast Gland,Thyroid gland,57.5604147622154,1.77589743239069
2.2,Bronchi,Trachea,40.0229325660137,1.31193423739597
2.2,Bronchi lumen,Bronchi lumen,1.0,0.0
2.2,Cartilage,Cartilage,39.3141632376998,1.56667947972134
2.2,Cerebellum,Cerebellum,45.2653001608556,1.94304289851916
2.2,Cerebrospinal Fluid,Cerebrospinal Fluid,66.616788547328,3.23717120011034
2.2,Cervix,Cervix,47.9159623209926,1.56809800298117
2.2,Commissura Anterior,Brain (White Matter),36.4719073383682,1.09308044491396
2.2,Commissura Posterior,Brain (White Matter),36.4719073383682,1.09308044491396
2.2,Connective Tissue,Tendon\Ligament,43.5613691593573,1.48672750774933
2.2,Diaphragm,Muscles,53.0382409506453,1.57530300051638
2.2,Ductus Deferens,Blood Vessel Wall,42.8393415049091,1.28365598106012
2.2,Dura,Dura,42.3577124750515,1.52631354594463
2.2,Epididymis,Testis,57.9464919427336,1.97237887258192
2.2,Esophagus,Stomach,62.5639891698737,1.99999236302464
2.2,Esophagus Lumen,Esophagus Lumen,1.0,0.0
2.2,Extracellular Fluids,Cerebrospinal Fluid,66.616788547328,3.23717120011034
2.2,Eye (Aqueous Humor),Cerebrospinal Fluid,66.616788547328,3.23717120011034
2.2,Eye (Choroid),Blood,58.6816860966482,2.33923844547676
2.2,Eye (Ciliary Body),Muscle,53.0382409506453,1.57530300051638
2.2,Eye (Cornea),Eye (Cornea),52.0353967878814,2.11730616548739
2.2,Eye (Iris),Muscle,53.0382409506453,1.57530300051638
2.2,Eye (Lens),Eye (Lens),34.2291136143263,0.964185184130584
2.2,Eye (Retina),Brain (Grey Matter),49.3330673539312,1.63843294928493
2.2,Eye (Sclera),Eye (Sclera),52.981725618469,1.85622488126631
2.2,Eye (Vitreous Humor),Eye (Vitrous Humor),68.3611244283709,2.29119296406405
2.2,Eye Lens (Cortex),Eye Lens (Cortex),44.9025663254417,1.35740917619901
2.2,Eye Lens (Nucleus),Eye (Lens),34.2291136143263,0.964185184130584
2.2,Fat,Fat (Average Infiltrated),10.8968486271918,0.236323451479656
2.2,Fat (Average Infiltrated),Fat (Average Infiltrated),10.8968486271918,0.236323451479656
2.2,Fat (Not Infiltrated),Fat (Not Infiltrated),5.30626466706096,0.0939142411818134
2.2,Gallbladder,Gallbladder,57.8618651117561,1.8854824837703
2.2,Heart Lumen,Blood,58.6816860966482,2.33923844547676
2.2,Heart Muscle,Heart Muscle,55.3516790684449,2.06001808617628
2.2,Hippocampus,Brain (Grey Matter),49.3330673539312,1.63843294928493
2.2,Hypophysis,Thyroid gland,57.5604147622154,1.77589743239069
2.2,Hypothalamus,Brain (Grey Matter),49.3330673539312,1.63843294928493
2.2,Intervertebral Disc,Intervertebral Disc,40.1307470795465,1.57166216583565
2.2,Kidney,Kidney,53.3331750947944,2.2365692310118
2.2,Kidney (Cortex),Kidney,53.3331750947944,2.2365692310118
2.2,Kidney (Medulla),Kidney,53.3331750947944,2.2365692310118
2.2,Large Intestine,Large Intestine,54.3389817523691,1.8504151222515
2.2,Large Intestine Lumen,Muscles,53.0382409506453,1.57530300051638
2.2,Larynx,Cartilage,39.3141632376998,1.56667947972134
2.2,Liver,Liver,43.4596437066958,1.52533929858889
2.2,Lung,Lung(Inflated),20.6462996976752,0.736281052232882
2.2,Lung (Deflated),Lung (Deflated),48.7506880153976,1.51785459912808
2.2,Lung (Inflated),Lung (Inflated),20.6462996976752,0.736281052232882
2.2,Lymph,,0.0,0.0
2.2,Lymphnode,Mesenchymal Lymph Node,51.8707907326684,1.71856167599982
2.2,Mandible,Bone (Cortical),11.5303919565393,0.346589449691386
2.2,Medulla Oblongata,Cerebellum,45.2653001608556,1.94304289851916
2.2,Meniscus,Cartilage,39.3141632376998,1.56667947972134
2.2,Midbrain,Cerebellum,45.2653001608556,1.94304289851916
2.2,Mucous Membrane,Muscles,53.0382409506453,1.57530300051638
2.2,Muscle,Muscles,53.0382409506453,1.57530300051638
2.2,Nerve,Nerve,30.4045143306324,0.988936405085399
2.2,Ovary,Ovary,45.3004570597201,2.0857373222534
2.2,Pancreas,Thyroid gland,57.5604147622154,1.77589743239069
2.2,Penis,Blood Vessel Wall,42.8393415049091,1.28365598106012
2.2,Pharynx,Air,1.0,0.0
2.2,Pineal Body,Thyroid gland,57.5604147622154,1.77589743239069
2.2,Placenta,Blood,58.6816860966482,2.33923844547676
2.2,Pons,Cerebellum,45.2653001608556,1.94304289851916
2.2,Prostate,Testis,57.9464919427336,1.97237887258192
2.2,Salivary Gland,Salivary Gland,52.227461853536,1.82198510785454
2.2,SAT (Subcutaneous Fat),Fat (Average Infiltrated),10.8968486271918,0.236323451479656
2.2,Scalp,Skin,38.3015689413428,1.35071795739688
2.2,Seminal vesicle,Testis,57.9464919427336,1.97237887258192
2.2,Skin,Skin (Dry),38.3015689413428,1.35071795739688
2.2,Skull,Bone (Cortical),11.5303919565393,0.346589449691386
2.2,Skull (Cancellous),Bone Cancellous,18.8415321985145,0.71874183532276
2.2,Skull (Cortical),Bone (Cortical),11.5303919565393,0.346589449691386
2.2,Small Intestine,Small Intestine,54.9509013172171,2.97996748369276
2.2,Small Intestine Lumen,Muscles,53.0382409506453,1.57530300051638
2.2,Spinal Cord,Nerve,30.4045143306324,0.988936405085399
2.2,Spleen,Spleen,52.948233788022,2.0525024025402
2.2,Stomach,Stomach,62.5639891698737,1.99999236302464
2.2,Stomach Lumen,Muscle,53.0382409506453,1.57530300051638
2.2,Tendon\Ligament,Tendon\Ligament,43.5613691593573,1.48672750774933
2.2,Testis,Testis,57.9464919427336,1.97237887258192
2.2,Thalamus,Brain (Grey Matter),49.3330673539312,1.63843294928493
2.2,Thymus,Thymus,51.9543370279608,1.89757400268149
2.2,Thyroid Gland,Thyroid gland,57.5604147622154,1.77589743239069
2.2,Tongue,Tongue,52.9817256191922,1.62569688880637
2.2,Tooth,Bone (Cortical),11.5303919565393,0.346589449691386
2.2,Tooth (Dentine),Bone (Cortical),11.5303919565393,0.346589449691386
2.2,Tooth (Enamel),Bone (Cortical),11.5303919565393,0.346589449691386
2.2,Trachea,Trachea,40.0229325660137,1.31193423739597
2.2,Trachea Lumen,Trachea Lumen,1.0,0.0
2.2,Ureter\Urethra,Blood Vessel Wall,42.8393415049091,1.28365598106012
2.2,Urinary Bladder Wall,Urinary Bladder Wall,18.1294882323292,0.623809719828743
2.2,Urine,Urine,67.951245954848,2.65199607542428
2.2,Uterus,Uterus,58.2316579190373,2.04904040165175
2.2,Vagina,Large Intestine,54.3389817523691,1.8504151222515
2.2,Vertebrae,Bone (Cortical),11.5303919565393,0.346589449691386
2.2,Water,Water,83.6025998009673,1.09893228309997
2.25,Adrenal Gland,Adrenal Gland,48.4388121494697,1.64706137450914
2.25,Air,Air,1.0,0.0
2.25,Bile,Bile,68.5811180127405,2.63258515977585
2.25,Blood,Blood,58.5975620569039,2.37911063088351
2.25,Blood Plasma,,0.0,0.0
2.25,Blood Serum,,0.0,0.0
2.25,Blood Vessel Wall,Blood Vessel Wall,42.7775250977087,1.31306339253117
2.25,Bone (Cancellous),Bone (Cancellous),18.7818468688394,0.735751979424631
2.25,Bone (Cortical),Bone (Cortical),11.5001352693997,0.355956841411758
2.25,Bone Marrow (Red),Bone Marrow (Red),10.4189201303666,0.423513529605338
2.25,Bone Marrow (Yellow),Bone Marrow (Yellow),5.31912882900579,0.0868795954270982
2.25,Brain,Cerebellum,45.169733991563,1.97398730808976
2.25,Brain (Grey Matter),Brain (Grey Matter),49.2466416586126,1.67139836037176
2.25,Brain (White Matter),Brain (White Matter),36.4093427483502,1.11682091439767
2.25,Breast Fat,Breast Fat,5.18513965669998,0.122873515858562
2.25,Breast Gland,Thyroid gland,57.4883893541789,1.81308609650205
2.25,Bronchi,Trachea,39.9642147779217,1.33850085108144
2.25,Bronchi lumen,Bronchi lumen,1.0,0.0
2.25,Cartilage,Cartilage,39.2044434044022,1.60369018617356
2.25,Cerebellum,Cerebellum,45.169733991563,1.97398730808976
2.25,Cerebrospinal Fluid,Cerebrospinal Fluid,66.5427293628498,3.27982838406851
2.25,Cervix,Cervix,47.8551437261245,1.59867615198184
2.25,Commissura Anterior,Brain (White Matter),36.4093427483502,1.11682091439767
2.25,Commissura Posterior,Brain (White Matter),36.4093427483502,1.11682091439767
2.25,Connective Tissue,Tendon\Ligament,43.4739188334528,1.52519507980793
2.25,Diaphragm,Muscles,52.9760808744069,1.60697336387224
2.25,Ductus Deferens,Blood Vessel Wall,42.7775250977087,1.31306339253117
2.25,Dura,Dura,42.2926296680269,1.5539989864787
2.25,Epididymis,Testis,57.8666914545666,2.01023640188911
2.25,Esophagus,Stomach,62.4825958602173,2.04079259325336
2.25,Esophagus Lumen,Esophagus Lumen,1.0,0.0
2.25,Extracellular Fluids,Cerebrospinal Fluid,66.5427293628498,3.27982838406851
2.25,Eye (Aqueous Humor),Cerebrospinal Fluid,66.5427293628498,3.27982838406851
2.25,Eye (Choroid),Blood,58.5975620569039,2.37911063088351
2.25,Eye (Ciliary Body),Muscle,52.9760808744069,1.60697336387224
2.25,Eye (Cornea),Eye (Cornea),51.9495651678918,2.15195002713326
2.25,Eye (Iris),Muscle,52.9760808744069,1.60697336387224
2.25,Eye (Lens),Eye (Lens),34.1777281276084,0.987992608836213
2.25,Eye (Retina),Brain (Grey Matter),49.2466416586126,1.67139836037176
2.25,Eye (Sclera),Eye (Sclera),52.9104538989219,1.89053508948881
2.25,Eye (Vitreous Humor),Eye (Vitrous Humor),68.3317545480993,2.3270346493525
2.25,Eye Lens (Cortex),Eye Lens (Cortex),44.8470291390793,1.38581628340846
